Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,RPG,APG,SPG,BPG,PPG
1,Michael Jordan,CHI,1072,38.3,11.4,22.9,.497,0.5,1.7,.327,6.8,8.2,.835,2.7,2.6,1.6,4.7,6.2,5.3,2.3,0.8,30.1
2,Wilt Chamberlain,-,1045,45.8,12.1,22.5,.540,0.0,0.0,.000,5.8,11.4,.511,0.0,2.0,0.0,0.0,22.9,4.4,0.0,0.0,30.1
3,Elgin Baylor,LAL,846,40.0,10.3,23.8,.431,0.0,0.0,.000,6.8,8.7,.780,0.0,3.1,0.0,0.0,13.5,4.3,0.0,0.0,27.4
4,LeBron James *,-,1249,38.4,9.9,19.6,.504,1.5,4.3,.344,5.9,8.0,.735,3.5,1.8,1.2,6.2,7.4,7.4,1.6,0.8,27.1
5,Jerry West,LAL,932,39.2,9.7,20.4,.474,0.0,0.0,.000,7.7,9.4,.814,0.0,2.6,1.0,2.8,5.8,6.7,2.6,0.7,27.0
6,Kevin Durant *,-,849,36.9,9.2,18.7,.493,1.8,4.9,.381,6.8,7.7,.883,3.1,1.9,0.7,6.3,7.1,4.1,1.1,1.1,27.0
7,Allen Iverson,PHI,914,41.1,9.3,21.8,.425,1.2,3.7,.313,7.0,8.9,.780,3.6,1.9,0.8,2.9,3.7,6.2,2.2,0.2,26.7
8,Bob Pettit,ATL,792,38.8,9.3,21.3,.436,0.0,0.0,.000,7.8,10.3,.761,0.0,3.2,0.0,0.0,16.2,3.0,0.0,0.0,26.4
9,George Gervin,-,791,33.5,10.2,19.9,.511,0.1,0.5,.297,5.7,6.8,.844,3.0,2.9,1.5,3.1,4.6,2.8,1.2,0.8,26.2
10,Oscar Robertson,-,1040,42.2,9.1,18.9,.485,0.0,0.0,.000,7.4,8.8,.838,0.0,2.8,1.0,3.0,7.5,9.5,1.1,0.1,25.7
11,James Harden *,-,816,34.3,7.4,16.7,.443,2.8,7.6,.364,7.5,8.8,.858,3.7,2.6,0.8,4.5,5.3,6.3,1.6,0.5,25.0
12,Karl Malone,UTA,1476,37.2,9.2,17.8,.516,0.1,0.2,.274,6.6,8.9,.742,3.1,3.1,2.4,7.7,10.1,3.6,1.4,0.8,25.0
13,Kobe Bryant,LAL,1346,36.1,8.7,19.5,.447,1.4,4.1,.329,6.2,7.4,.837,3.0,2.5,1.1,4.1,5.2,4.7,1.4,0.5,25.0
14,Dominique Wilkins,ATL,1074,35.5,9.3,20.1,.461,0.7,2.1,.319,5.6,6.9,.811,2.5,1.9,2.7,3.9,6.7,2.5,1.3,0.6,24.8
15,Kareem Abdul-Jabbar,-,1560,36.8,10.2,18.1,.559,0.0,0.0,.056,4.3,6.0,.721,2.7,3.0,2.4,7.6,11.2,3.6,0.9,2.6,24.6
16,Larry Bird,BOS,897,38.4,9.6,19.3,.496,0.7,1.9,.376,4.4,5.0,.886,3.1,2.5,2.0,8.0,10.0,6.3,1.7,0.8,24.3
17,Adrian Dantley,-,955,35.8,8.6,15.8,.540,0.0,0.1,.171,7.2,8.7,.818,2.8,2.7,2.3,3.4,5.7,3.0,1.0,0.2,24.3
18,Pete Maravich,-,658,37.0,9.4,21.3,.441,0.2,0.3,.667,5.4,6.6,.820,3.7,2.8,1.0,3.3,4.2,5.4,1.4,0.2,24.2
19,Luka Doncic *,DAL,116,32.4,8.0,18.0,.443,2.6,7.9,.325,5.6,7.6,.737,3.7,2.1,1.3,7.2,8.5,7.0,1.0,0.3,24.1
20,Damian Lillard *,POR,603,36.3,7.9,18.2,.436,2.8,7.7,.371,5.3,6.0,.889,2.8,2.0,0.6,3.6,4.2,6.5,1.0,0.3,24.1
21,Joel Embiid *,PHI,197,30.7,8.0,16.8,.478,1.2,3.7,.319,6.8,8.6,.792,3.5,3.4,2.4,9.1,11.5,3.2,0.7,1.8,24.0
22,Anthony Davis *,-,512,34.6,8.9,17.3,.517,0.4,1.4,.315,5.6,7.0,.801,1.9,2.4,2.5,7.9,10.4,2.2,1.4,2.4,24.0
23,Shaquille O'Neal,LAL,1207,34.7,9.4,16.1,.582,0.0,0.0,.045,4.9,9.3,.527,2.7,3.4,3.5,7.4,10.9,2.5,0.6,2.3,23.7
24,Carmelo Anthony *,-,1104,35.7,8.5,18.9,.448,1.3,3.7,.347,5.4,6.7,.812,2.6,2.9,1.7,4.8,6.5,2.9,1.0,0.5,23.7
25,Stephen Curry *,GSW,698,34.3,8.1,17.1,.476,3.6,8.2,.435,3.7,4.0,.905,3.1,2.5,0.7,3.8,4.5,6.6,1.7,0.2,23.5
26,Russell Westbrook *,-,866,34.6,8.2,18.8,.436,1.1,3.7,.304,5.7,7.1,.801,4.1,2.6,1.7,5.4,7.1,8.3,1.7,0.3,23.2
27,Rick Barry,-,794,36.3,9.1,20.4,.449,1.0,3.1,.330,4.8,5.3,.900,2.5,2.9,0.9,4.3,6.5,5.1,2.0,0.5,23.2
28,Trae Young *,ATL,131,32.5,7.5,17.5,.430,2.5,7.3,.346,5.6,6.7,.841,4.2,1.7,0.7,3.3,4.0,8.5,1.0,0.2,23.1
29,George Mikan,LAL,439,34.4,8.1,20.0,.404,0.0,0.0,.000,7.0,8.9,.782,0.0,4.2,0.0,0.0,13.4,2.8,0.0,0.0,23.1
30,Paul Arizin,GSW,713,38.4,7.9,18.7,.421,0.0,0.0,.000,7.0,8.7,.810,0.0,3.9,0.0,0.0,8.6,2.3,0.0,0.0,22.8
31,Karl-Anthony Towns *,MIN,358,34.4,8.6,16.0,.534,1.4,3.6,.396,4.1,5.0,.831,2.5,3.3,3.1,8.6,11.7,2.8,0.8,1.5,22.7
32,Donovan Mitchell *,UTA,209,33.8,8.3,18.8,.440,2.4,6.8,.354,3.7,4.5,.820,2.8,2.6,0.7,3.3,4.0,4.0,1.4,0.3,22.6
33,Alex Groza,IND,130,19.4,7.8,16.4,.474,0.0,0.0,.000,6.9,9.1,.756,0.0,3.5,0.0,0.0,10.7,2.4,0.0,0.0,22.5
34,Bernard King,-,874,33.7,9.0,17.3,.518,0.0,0.2,.172,4.5,6.2,.730,3.2,3.3,1.9,3.8,5.8,3.3,1.0,0.3,22.5
35,Kyrie Irving *,-,528,33.8,8.2,17.7,.466,2.1,5.4,.390,3.8,4.4,.877,2.6,2.2,0.8,2.9,3.7,5.7,1.3,0.4,22.4
36,Devin Booker *,PHX,324,33.4,7.6,17.1,.447,1.9,5.5,.355,5.0,5.7,.868,3.3,3.1,0.5,3.1,3.6,4.6,0.8,0.2,22.2
37,Charles Barkley,PHI,1073,36.6,7.9,14.5,.541,0.5,1.9,.266,5.9,8.1,.735,3.1,3.1,4.0,7.7,11.7,3.9,1.5,0.8,22.1
38,David Thompson,-,509,32.0,8.3,16.4,.504,0.1,0.3,.277,5.5,7.1,.778,2.6,2.5,1.4,2.3,3.8,3.2,0.9,0.8,22.1
39,Bob McAdoo,-,852,33.2,8.7,17.3,.503,0.0,0.1,.081,4.6,6.1,.754,2.6,3.2,2.4,7.1,9.4,2.3,1.0,1.5,22.1
40,Dwyane Wade,-,1054,33.9,8.0,16.7,.480,0.5,1.8,.293,5.4,7.1,.765,3.2,2.2,1.2,3.5,4.7,5.4,1.5,0.8,22.0
41,Julius Erving,PHI,836,34.3,8.7,17.1,.507,0.1,0.3,.261,4.6,5.9,.777,3.1,2.7,2.5,4.2,6.7,3.9,1.8,1.5,22.0
42,Geoff Petrie,POR,446,37.6,8.9,19.5,.455,0.0,0.0,.000,4.0,5.0,.805,0.0,2.4,0.6,2.0,2.8,4.6,1.1,0.1,21.8
43,Hakeem Olajuwon,HOU,1238,35.7,8.7,17.0,.512,0.0,0.1,.202,4.4,6.2,.712,3.0,3.5,3.3,7.8,11.1,2.5,1.7,3.1,21.8
44,Blake Griffin *,-,622,34.8,8.1,16.3,.498,0.7,2.0,.333,4.8,6.9,.694,2.6,2.9,2.2,6.7,8.8,4.4,0.9,0.5,21.7
45,Alex English,DEN,1193,31.9,8.9,17.6,.507,0.0,0.1,.217,3.6,4.3,.832,2.5,2.5,2.3,3.2,5.5,3.6,0.9,0.7,21.5
46,DeMarcus Cousins *,-,565,32.0,7.6,16.5,.461,0.6,1.8,.332,5.5,7.4,.737,3.5,3.8,2.8,8.1,10.9,3.2,1.4,1.2,21.2
47,David Robinson,SAS,987,34.7,7.5,14.4,.518,0.0,0.1,.250,6.1,8.3,.736,2.4,2.9,3.1,7.5,10.6,2.5,1.4,3.0,21.1
48,Mitch Richmond,SAC,976,35.2,7.5,16.4,.455,1.4,3.5,.388,4.7,5.5,.850,2.6,2.6,0.9,3.0,3.9,3.5,1.2,0.3,21.0
49,Patrick Ewing,NYK,1183,34.3,8.2,16.3,.504,0.0,0.1,.152,4.6,6.2,.740,3.0,3.4,2.3,7.5,9.8,1.9,1.0,2.4,21.0
50,Elvin Hayes,-,1303,38.4,8.4,18.6,.452,0.0,0.1,.147,4.1,6.1,.670,2.4,3.2,3.1,7.8,12.5,1.8,1.0,2.0,21.0
51,Billy Cunningham,PHI,654,34.3,7.8,17.5,.446,0.0,0.0,.000,5.2,7.2,.720,0.0,3.7,1.6,7.1,10.1,4.0,1.1,0.5,20.8
52,John Havlicek,BOS,1270,36.6,8.3,18.8,.439,0.0,0.0,.000,4.2,5.2,.815,2.5,2.6,1.5,3.5,6.3,4.8,1.2,0.3,20.8
53,Dirk Nowitzki,DAL,1522,33.8,7.3,15.6,.471,1.3,3.4,.380,4.8,5.4,.879,1.6,2.4,1.0,6.6,7.5,2.4,0.8,0.8,20.7
54,John Drew,-,739,29.5,7.4,15.8,.470,0.0,0.2,.175,5.8,7.8,.748,2.7,3.6,2.9,4.0,6.9,1.7,1.4,0.3,20.7
55,Glenn Robinson,MIL,688,36.8,8.1,17.6,.459,0.9,2.6,.340,3.6,4.4,.820,3.1,2.7,1.5,4.6,6.1,2.7,1.2,0.6,20.7
56,Chris Webber,SAC,831,37.1,8.7,18.1,.479,0.3,1.1,.299,3.0,4.7,.649,2.8,3.3,2.7,7.0,9.8,4.2,1.4,1.4,20.7
57,Bradley Beal *,WAS,534,34.5,7.5,16.7,.452,2.2,5.9,.377,3.3,4.1,.805,2.2,2.2,0.8,3.2,4.0,3.9,1.1,0.4,20.6
